------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
40          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
0		0	0	0	14.5		5.382328	1
2.643888	0	0	0	14.5		5.382328	1
5.382328	0	0	0	14.5		5.382328	1
8.2064		0	0	0	14.43201	5.382328	2
11.107184	0	0	0	13.88882	5.45458		2
14.076652	0	0	0	12.54597	5.63744		3
17.102316	0	0	0	10.60869	5.868468	3
20.171688	0	0	0	8.89245		6.072736	4
23.274064	0	0	0	7.8018		6.186912	4
26.39428	0	0	0	7.02416		6.205644	5
29.518956	0	0	0	6.3822		6.144988	5
32.635604	0	0	0	5.77686		6.021892	5
35.72906	0	0	0	5.2275		5.85152		5
38.787728	0	0	0	4.67358		5.647252	5
41.798228	0	0	0	4.0886		5.424252	6
44.748964	0	0	0	3.48776		5.187872	6
47.629232	0	0	0	2.88655		4.944356	6
50.42922	0	0	0	2.29908		4.699948	6
53.1409		0	0	0	1.73617		4.458216	6
55.756244	0	0	0	1.20719		4.224512	6
58.269008	0	0	0	0.7187		4.00062		6
60.676516	0	0	0	0.27308		3.787432	6
62.974308	0	0	0	-0.13038	3.586732	6
65.1606		0	0	0	-0.49328	3.399412	6
67.233608	0	0	0	-0.81957	3.22458		6
69.194224	0	0	0	-1.11392	3.063128	6
71.04334	0	0	0	-1.3827		2.914164	6
72.78274	0	0	0	-1.63109	2.777688	6
74.414208	0	0	0	-1.86196	2.651916	6
75.942204	0	0	0	-2.07763	2.536848	6
77.370296	0	0	0	-2.28008	2.431592	6
78.700268	0	0	0	-2.469		2.33258		6
79.939256	0	0	0	-2.64408	2.233568	6
81.089936	0	0	0	-2.80296	2.130096	6
82.156768	0	0	0	-2.94507	2.019488	6
83.145104	0	0	0	-3.07009	1.90442		6
84.058512	0	0	0	-3.17733	1.776864	6
84.903236	0	0	0	-3.27096	1.627008	6
85.681952	0	0	0	-3.35753	1.44058		6
86.39912	0	0	0	-3.428		1.183684	6
